fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.75,0.23878952112630258,0.7482832853679238,0.01292719350577366,0.013430953843223887,0.01354432806313179,0.0035950086834595626
0.0,0.8307515737912651,0.0,0.16924842620873487,0.011476197032841749,0.0,0.011476197032841749
0.1875,0.669273491373939,0.18532073316471712,0.1454057754613439,0.01450235518989828,0.012362872591202686,0.010692355865659637
0.375,0.511210068772902,0.37399929002186444,0.11479064120523354,0.01547659472823228,0.015392072542510666,0.009713266583109491
0.5625,0.40526939642801296,0.559964888257323,0.03476571531466399,0.015605371809676069,0.01569696660705275,0.005715524727174419
0.75,0.23363220140467567,0.7473940856717425,0.018973712923581864,0.013026461744540899,0.013196501698236572,0.004269280441343906
0.0,0.8301442769295686,0.0,0.1698557230704315,0.012312389234680284,0.0,0.012312389234680284
0.1875,0.6827817431576222,0.18660186364033785,0.13061639320204005,0.014617496390308411,0.012627435335542092,0.010316116131054686
0.375,0.5178518051100932,0.37273771858332894,0.10941047630657783,0.016000918303028376,0.015201372517776274,0.009951931012845356
0.5625,0.4103829324015652,0.5613693179024973,0.028247749695937543,0.01579321333035273,0.015762345774135357,0.0053421204083507826
0.75,0.24153823478736242,0.7467693449618221,0.011692420250815499,0.012798359451892815,0.013076818437260527,0.0033252526390042045
0.0,0.8309768950177348,1.0121457489878542e-06,0.16902209283651629,0.011470552553101697,3.199085147627351e-05,0.01147113254909412
0.1875,0.6961824468855419,0.18624993197356549,0.11756762114089273,0.014118597543829416,0.012087642895037748,0.01034882806121898
0.375,0.5089888330380549,0.37322237438973965,0.11778879257220544,0.015526175720819891,0.01531831374202705,0.010266620712396824
0.5625,0.36445370315200604,0.5603298668219729,0.07521643002602103,0.01496349171720804,0.015392461800866432,0.008303326666662319
0.75,0.24734666996749274,0.7466791542977176,0.00597417573478978,0.013570199665161604,0.013584481185395552,0.0025781987324236875
0.0,0.8310457961085124,0.0,0.16895420389148766,0.011728732317759196,0.0,0.011728732317759196
0.1875,0.6754149862359312,0.18509978221217374,0.13948523155189502,0.014759864916245952,0.012576996906803894,0.010883599744990122
0.375,0.5039495255131443,0.3739317881539234,0.12211868633293226,0.016567523651595747,0.015382052774417619,0.010598364453138661
0.5625,0.41021704776031515,0.5600086008560334,0.02977435138365135,0.015172183047063295,0.015356261182882759,0.0053107841908444356
0.75,0.24138718533462025,0.7475074415903434,0.01110537307503624,0.013147255898873646,0.013512858666938266,0.0033281510851536885
0.0,0.8297253204089347,0.0,0.17027467959106538,0.011744014244073018,0.0,0.011744014244073018
0.1875,0.6869171863803266,0.18628539445107564,0.12679741916859777,0.013758707161221993,0.011833006716199562,0.009958958007699017
0.375,0.5303391529805188,0.37455394576836204,0.09510690125111906,0.01611477968765339,0.014931393608106611,0.009493467464208717
0.5625,0.40417503612350447,0.5608557126416971,0.034969251234798375,0.015717490217123358,0.015908107269707625,0.005827781798503415
0.75,0.24372793761071776,0.7464648386404306,0.009807223748851726,0.013812743374728539,0.013976980939803832,0.003160468697899962
